"Category","Region/Governorate","Priority_Level","Language","Target_Group","Description","Social_Media_Presence","Collection_Frequency","Expected_Data_Volume","Contact_Methods","Campaign_Strategy"
"PRIORITY_REGIONS","KURDISTAN","1 (HIGHEST)","Kurdish","Political Candidates","Primary target - 3x collection frequency","Facebook, Instagram, YouTube, Twitter, TikTok","Every 5 minutes","500-1000 mentions/day","Social media profiles, personal websites","Intensive Kurdish language engagement"
"PRIORITY_REGIONS","KURDISTAN","1 (HIGHEST)","Kurdish_Sorani","Southern Kurdish Speakers","Primary Kurdish dialect in Sulaymaniyah","Facebook, Instagram, YouTube","Every 5 minutes","200-400 mentions/day","Kurdish social platforms, local news","Sorani language content creation"
"PRIORITY_REGIONS","KURDISTAN","1 (HIGHEST)","Kurdish_Badini","Northern Kurdish Speakers","Primary Kurdish dialect in Duhok","Facebook, YouTube, Twitter","Every 5 minutes","150-300 mentions/day","Regional news sites, political forums","Badini dialect localization"
"PRIORITY_REGIONS","KURDISTAN","1 (HIGHEST)","Kurdish_Kurmanji","Northwestern Kurdish Speakers","Primary Kurdish dialect in Erbil","Facebook, Instagram, TikTok","Every 5 minutes","150-300 mentions/day","Educational platforms, youth groups","Kurmanji content for younger demographics"
"CENTRAL_REGION","BAGHDAD","2 (HIGH)","Arabic","Central Government Officials","Political hub - parliamentary candidates","Facebook, Twitter, YouTube","Every 15 minutes","800-1500 mentions/day","Official websites, government portals","Arabic political discourse engagement"
"CENTRAL_REGION","BAGHDAD","2 (HIGH)","Arabic","Baghdad District Candidates","Local district electoral candidates","Facebook, Instagram, local forums","Every 15 minutes","400-800 mentions/day","Community groups, local news","District-specific Arabic campaigns"
"SOUTH_REGION","BASRA","3 (MEDIUM)","Arabic","Southern Economic Leaders","Oil industry and business candidates","Facebook, LinkedIn, YouTube","Every 15 minutes","300-600 mentions/day","Business networks, economic forums","Economic development focus"
"SOUTH_REGION","BASRA","3 (MEDIUM)","Arabic","Basra Province Candidates","Southern province electoral candidates","Facebook, Instagram, regional news","Every 15 minutes","200-400 mentions/day","Local media, community leaders","Regional development messaging"
"RELIGIOUS_CENTERS","NAJAF","4 (MEDIUM)","Arabic","Religious Scholars","Religious and political candidates","Facebook, YouTube, religious sites","Every 15 minutes","200-400 mentions/day","Religious institutions, scholarly networks","Respectful religious discourse"
"RELIGIOUS_CENTERS","KARBALA","4 (MEDIUM)","Arabic","Religious Leaders","Holy city political representation","Facebook, Instagram, pilgrimage sites","Every 15 minutes","150-300 mentions/day","Religious organizations, cultural groups","Cultural and religious sensitivity"
"DISPUTED_TERRITORY","KIRKUK","5 (MEDIUM)","Multi-language","Kirkuk Representatives","Multi-ethnic political candidates","Facebook, YouTube, Twitter","Every 15 minutes","300-500 mentions/day","Multi-ethnic media, local coalitions","Inclusive multi-language approach"
"DISPUTED_TERRITORY","KIRKUK","5 (MEDIUM)","Kurdish","Kurdish Kirkuk Candidates","Kurdish population representatives","Facebook, Kurdish media","Every 15 minutes","100-200 mentions/day","Kurdish community networks","Kurdish cultural preservation"
"DISPUTED_TERRITORY","KIRKUK","5 (MEDIUM)","Arabic","Arabic Kirkuk Candidates","Arabic-speaking representatives","Facebook, Arabic media","Every 15 minutes","100-200 mentions/day","Arabic community organizations","Arabic cultural engagement"
"DISPUTED_TERRITORY","KIRKUK","5 (MEDIUM)","Turkmen","Turkmen Kirkuk Candidates","Turkmen minority representatives","Facebook, Turkmen media","Every 15 minutes","50-100 mentions/day","Turkmen cultural associations","Turkmen language inclusion"
"OTHER_REGIONS","MOSUL","6 (STANDARD)","Arabic","Nineveh Province Leaders","Northern reconstruction candidates","Facebook, YouTube, regional news","Every 15 minutes","200-400 mentions/day","Reconstruction forums, local NGOs","Post-conflict development focus"
"OTHER_REGIONS","ANBAR","6 (STANDARD)","Arabic","Western Province Candidates","Tribal and regional leaders","Facebook, tribal networks","Every 15 minutes","150-300 mentions/day","Tribal councils, regional media","Tribal diplomacy and development"
"OTHER_REGIONS","SALAHUDDIN","6 (STANDARD)","Arabic","Salahuddin Province","Agricultural and regional candidates","Facebook, agricultural forums","Every 15 minutes","100-200 mentions/day","Farming cooperatives, local chambers","Agricultural policy focus"
"OTHER_REGIONS","DIYALA","6 (STANDARD)","Multi-language","Diyala Border Region","Multi-ethnic province candidates","Facebook, diverse media","Every 15 minutes","150-250 mentions/day","Border communities, diverse groups","Multi-ethnic harmony messaging"
"LANGUAGE_GROUPS","KURDISH_SPEAKERS","1 (HIGHEST)","Kurdish_All","Unified Kurdish Population","All Kurdish dialect speakers","Facebook, Instagram, YouTube","Every 5 minutes","800-1500 mentions/day","Kurdish media networks","Pan-Kurdish unity messaging"
"LANGUAGE_GROUPS","KURDISH_SPEAKERS","1 (HIGHEST)","Kurdish_Sorani","Southern Kurdish","Sulaymaniyah, Halabja regions","Facebook, local news, YouTube","Every 5 minutes","300-500 mentions/day","Southern Kurdish platforms","Regional identity focus"
"LANGUAGE_GROUPS","KURDISH_SPEAKERS","1 (HIGHEST)","Kurdish_Badini","Northern Kurdish","Duhok, Zakho regions","Facebook, YouTube, Twitter","Every 5 minutes","250-400 mentions/day","Northern Kurdish networks","Cultural preservation"
